Accel X Vib,Accel Y Vib,Accel Z Vib,Airspeed,Airspeed Unfiltered,Alt Variance,Altitude,AutonomousFlag,Average FCS Time,BaroAirspeed,BaroAltitude,Battery Ah used,Battery Level,Battery Power,Battery Wh used,Crosstrack Angle,Crosstrack East Dist Adj,Crosstrack North Dist Adj,CurrentWP,EAltitude,ECU voltage,EGPSEast,EGPSNorth,EPitch,EPitchRate,ERoll,ERollRate,EYawRate,East Distance,FCS voltage,FCSTargetCourse,GPS Altitude,GPS Fix,GPS HDOP,GPS Latitude,GPS Longitude,GPS Messages,GPS PDOP,GPS Parse Errors,GPS Sat Count,GPS Sys Count,GPS VDOP,Groundspeed,Gyro X Vib,Gyro Y Vib,Gyro Z Vib,Heading,Latitude,Longitude,Mag Variance,Mag X,Mag Y,Mag Z,Max FCS Time,North Distance,PWMAileron,PWMElevator,PWMQuadThrottle0,PWMQuadThrottle1,PWMQuadThrottle2,PWMQuadThrottle3,PWMRudder,PWMThrottle,Parse Errors,Pitch,Pitch Rate,Pos Variance,RC voltage,Roll,Roll Rate,SAirspeed,SAltitude,SAuto Mode,SECU Voltage,SFCS Mode,SGroundspeed,SHeading,SLatitude,SLongitude,SNav Mode,SOp Mode,SPitch,SRoll,Sensor 0 Current,Sensor 1 Current,Sensor 2 Current,Sensor 3 Current,Sensor 4 Current,Target East Vel,Target Heading,Target Lat,Target Lon,Target North Vel,TargetAltitude,TargetClimbRate,TargetPitch,TargetRoll,Total Current,Uptime,Vel Variance,Vel_D,Vel_E,Vel_N,X Acceleration,Y Acceleration,Yaw,Yaw Rate,Z Acceleration,altitude,auto_aileron,auto_elevator,auto_mode,auto_rudder,auto_throttle,char,code,dT,fcs_mode,heading,latitude,length,longitude,manual_aileron,manual_elevator,manual_rudder,manual_throttle,nav_mode,op_mode,predicted altitude,predicted heading,predicted latitude,predicted longitude,unknown
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,-3.4448822,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.1149923,0.0000000,0.0000000,0.0000000,-2.1689756,37.3358002,-77.2368088,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.3254719,0.0000000,0.0000000,0.0000000,-0.2210307,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0188461,0.1110484,0.0298574,0.0000000,0.0000000,-2.1689756,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,-3.6089242,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0935048,0.0000000,0.0000000,0.0000000,-2.6429672,37.3358002,-77.2368088,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.3147804,0.0000000,0.0000000,0.0000000,-0.2621053,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0039036,0.0910259,0.0213873,0.0000000,0.0000000,-2.6429672,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0.0019669,0.0022985,0.0037958,0.0000000,0.0000000,0.0000000,-3.7729661,0.0000000,0.0035419,0.0000000,0.0000000,0.4082668,96.1484222,16.3839054,8.3303614,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,20.7631645,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,4.9729667,140.0940399,0.0000000,3.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0823461,0.0460065,0.0392597,0.0393821,-3.0837312,37.3358002,-77.2368088,7.0000000,0.0000000,0.0000000,0.0000000,0.0051454,0.0000000,0.0000000,0.0035336,-1.0000000,-1.0000000,-1.0000000,-1.0000000,-0.0142180,-1.0000000,0.0000000,0.3206082,-0.0183539,1.0000000,0.0212747,-0.2165616,-0.7947912,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.7881491,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,400.0000000,-0.8094102,1.9470522,0.0000000,0.7881491,105.8555222,0.0000000,0.0022178,0.0819870,0.0076820,0.0540545,-0.0559443,-3.0837312,-0.5213429,0.9497812,-3.5104988,1620.0000000,1543.0000000,0.0000000,1512.0000000,1025.0000000,0.0000000,0.0000000,0.0100000,0.0000000,-2.3497896,37.3358002,0.0000000,-77.2368088,1620.0000000,1543.0000000,1512.0000000,1047.0000000,0.0000000,0.0000000,0.0000000,357.9020081,0.0000000,0.0000000,0.0000000
0.0019872,0.0024182,0.0037663,0.0000000,0.0000000,0.0000000,-3.9370081,0.0000000,0.0035889,0.0000000,0.0000000,0.4084709,96.1464996,15.3847828,8.3346052,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,20.7878246,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,4.9357362,140.0940399,0.0000000,3.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0728503,0.0469864,0.0404018,0.0383944,-3.5519826,37.3358002,-77.2368088,6.0000000,0.0000000,0.0000000,0.0000000,0.0051354,0.0000000,0.0000000,0.0035336,-1.0000000,-1.0000000,-1.0000000,-1.0000000,-0.0142180,-1.0000000,0.0000000,0.3172068,-0.0081042,1.0000000,0.0159560,-0.2392116,-0.2089200,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.7396476,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,400.0000000,-0.8094102,1.9470522,0.0000000,0.7396476,106.8555222,1.0000000,-0.0014428,0.0726606,-0.0052547,0.0585818,-0.0545635,-3.5519826,-0.2671865,0.9509156,-3.6417325,1620.0000000,1543.0000000,0.0000000,1512.0000000,1025.0000000,0.0000000,0.0000000,0.0099940,0.0000000,-2.8083162,37.3358002,0.0000000,-77.2368088,1620.0000000,1543.0000000,1512.0000000,1047.0000000,0.0000000,0.0000000,0.0000000,357.4340515,0.0000000,0.0000000,0.0000000
0.0020210,0.0025369,0.0041210,0.0000000,0.0000000,0.0000000,-4.1338587,0.0000000,0.0038360,0.0000000,0.0000000,0.4086668,96.1446533,15.6369944,8.3386803,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,20.8001537,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,4.9463735,140.0940399,0.0000000,3.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0589649,0.0474724,0.0413415,0.0375769,-3.9439826,37.3358002,-77.2368088,4.0000000,0.0000000,0.0000000,0.0000000,0.0051254,0.0000000,0.0000000,0.0035336,-1.0000000,-1.0000000,-1.0000000,-1.0000000,-0.0142180,-1.0000000,0.0000000,0.2880594,0.0548083,1.0000000,0.0212747,-0.3411039,-0.4683489,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.7517730,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,400.0000000,-0.8094102,1.9470522,0.0000000,0.7517730,107.8555374,1.0000000,-0.0042943,0.0580871,-0.0101365,0.0537644,-0.0548973,-3.9439826,-0.4395507,0.9499542,-3.8057745,1620.0000000,1543.0000000,0.0000000,1512.0000000,1025.0000000,0.0000000,0.0000000,0.0100060,0.0000000,-3.3017471,37.3358002,0.0000000,-77.2368088,1620.0000000,1543.0000000,1512.0000000,1047.0000000,0.0000000,0.0000000,0.0000000,356.9307556,0.0000000,0.0000000,0.0000000
0.0020606,0.0026638,0.0038972,0.0000000,0.0000000,0.0000000,-4.3307090,0.0000000,0.0036631,0.0000000,0.0000000,0.4088655,96.1427841,15.3847828,8.3428135,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,20.8124828,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,4.9729667,140.0940399,0.0000000,3.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0560102,0.0534498,0.0380388,0.0371979,-4.3891058,37.3358002,-77.2368088,3.0000000,0.0000000,0.0000000,0.0000000,0.0052037,0.0000000,0.0000000,0.0035336,-1.0000000,-1.0000000,-1.0000000,-1.0000000,-0.0142180,-1.0000000,0.0000000,0.2903759,-0.1757535,1.0000000,0.0212747,-0.3560959,0.1109092,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.7396476,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,400.0000000,-0.8094102,1.9470522,0.0000000,0.7396476,108.8555222,0.0000000,-0.0017656,0.0557640,-0.0052454,0.0532320,-0.0526492,-4.3891058,0.5575243,0.9501572,-3.9698164,1620.0000000,1543.0000000,0.0000000,1512.0000000,1025.0000000,0.0000000,0.0000000,0.0100000,0.0000000,-3.7119744,37.3358002,0.0000000,-77.2368088,1620.0000000,1543.0000000,1512.0000000,1047.0000000,0.0000000,0.0000000,0.0000000,356.5359497,0.0000000,0.0000000,0.0000000
0.0021359,0.0025660,0.0039765,0.0000000,0.0000000,0.0000000,-4.4619427,0.0000000,0.0035271,0.0000000,0.0000000,0.4090604,96.1409378,15.8986206,8.3468714,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,20.8248138,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,4.9463735,140.0940399,0.0000000,3.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0431455,0.0502073,0.0400656,0.0415200,-4.7972217,37.3358002,-77.2368088,3.0000000,0.0000000,0.0000000,0.0000000,0.0051937,0.0000000,0.0000000,0.0035336,-1.0000000,-1.0000000,-1.0000000,-1.0000000,-0.0142180,-1.0000000,0.0000000,0.3047240,-0.1630525,1.0000000,0.0159560,-0.3243832,0.7062721,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.7638983,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,400.0000000,-0.8094102,1.9470522,0.0000000,0.7638983,109.8555222,1.0000000,-0.0154152,0.0431455,-0.0000394,0.0594783,-0.0493276,-4.7972217,0.4949108,0.9529226,-4.1666670,1620.0000000,1543.0000000,0.0000000,1512.0000000,1025.0000000,0.0000000,0.0000000,0.0100000,0.0000000,-4.1169276,37.3358002,0.0000000,-77.2368088,1620.0000000,1543.0000000,1512.0000000,1047.0000000,0.0000000,0.0000000,0.0000000,356.1194763,0.0000000,0.0000000,0.0000000
0.0021203,0.0025924,0.0037995,0.0000000,0.0000000,0.0000000,-4.5603676,0.0000000,0.0034981,0.0000000,0.0000000,0.4092535,96.1391220,15.3939018,8.3508892,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,20.8001537,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,4.9250989,140.0940399,0.0000000,3.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0350594,0.0529936,0.0393151,0.0380900,-5.2299681,37.3358002,-77.2368088,2.0000000,0.0000000,0.0000000,0.0000000,0.0051837,0.0000000,0.0000000,0.0035336,-1.0000000,-1.0000000,-1.0000000,-1.0000000,-0.0142180,-1.0000000,0.0000000,0.3235480,-0.2741118,1.0000000,0.0212747,-0.4540344,-0.0229411,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.7396476,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,400.0000000,-0.8094102,1.9470522,0.0000000,0.7396476,110.8555222,1.0000000,-0.0169772,0.0340741,0.0082534,0.0555809,-0.0516433,-5.2299681,0.9787779,0.9523277,-4.3307090,1620.0000000,1543.0000000,0.0000000,1512.0000000,1025.0000000,0.0000000,0.0000000,0.0100000,0.0000000,-4.4648757,37.3358002,0.0000000,-77.2368088,1620.0000000,1543.0000000,1512.0000000,1047.0000000,0.0000000,0.0000000,0.0000000,355.7700195,0.0000000,0.0000000,0.0000000
0.0020647,0.0024925,0.0036746,0.0000000,0.0000000,1.0000000,-4.6259847,0.0000000,0.0036331,0.0000000,0.0000000,0.4094530,96.1372375,15.3939018,8.3550425,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,20.8124828,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,4.8719120,140.0940399,0.0000000,3.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0260214,0.0511680,0.0412650,0.0408759,-5.5169735,37.3358002,-77.2368011,2.0000000,0.0000000,0.0000000,0.0000000,0.0051737,0.0000000,0.0000000,0.0035336,-1.0000000,-1.0000000,-1.0000000,-1.0000000,-0.0142180,-1.0000000,0.0000000,0.3096404,0.0119834,1.0000000,0.0212747,-0.3959840,-0.3317953,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.7396476,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,400.0000000,-0.8094102,1.9470522,0.0000000,0.7396476,111.8555222,0.0000000,-0.0285059,0.0235475,-0.0110737,0.0563067,-0.0495148,-5.5169735,-0.2285446,0.9510342,-4.4947510,1620.0000000,1543.0000000,0.0000000,1512.0000000,1025.0000000,0.0000000,0.0000000,0.0099920,0.0000000,-4.8491898,37.3358002,0.0000000,-77.2368088,1620.0000000,1543.0000000,1512.0000000,1047.0000000,0.0000000,0.0000000,0.0000000,355.3377686,0.0000000,0.0000000,0.0000000
0.0020341,0.0026348,0.0038890,0.0000000,0.0000000,1.0000000,-4.7572179,0.0000000,0.0037067,0.0000000,0.0000000,0.4096436,96.1354370,15.4121418,8.3590107,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,20.8124828,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,4.9463735,140.0940399,0.0000000,3.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0173029,0.0525912,0.0396238,0.0397406,-5.8248682,37.3358002,-77.2368011,0.0000000,0.0000000,0.0000000,0.0000000,0.0051637,0.0000000,0.0000000,0.0035336,-1.0000000,-1.0000000,-1.0000000,-1.0000000,-0.0142180,-1.0000000,0.0000000,0.2981505,0.0347081,0.0000000,0.0212747,-0.3472590,-0.5363818,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.7396476,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,400.0000000,-0.8094102,1.9470522,0.0000000,0.7396476,112.8555222,1.0000000,-0.0266517,-0.0002095,-0.0173016,0.0569816,-0.0554378,-5.8248682,-0.0900441,0.9519148,-4.5603676,1620.0000000,1543.0000000,0.0000000,1512.0000000,1025.0000000,0.0000000,0.0000000,0.0099920,0.0000000,-5.2679329,37.3358002,0.0000000,-77.2368088,1620.0000000,1543.0000000,1512.0000000,1047.0000000,0.0000000,0.0000000,0.0000000,354.9257202,0.0000000,0.0000000,0.0000000
